ref   	text             	parse      	lemma       	pre      	gloss
5.2   	ἀπεδείχθησαν     	VCI API3P  	δεικνύω     	ἀπο      	were appointed
5.3   	δύο              	M   NDM    	δύο         	         	two
5.4   	πρεσβύτεροι      	N2  NPM    	πρεσβύτερος 	         	elders
5.5   	ἐκ               	P          	ἐκ          	         	of
5.6   	τοῦ              	RA  GSM    	ὁ           	         	the
5.7   	λαοῦ             	N2  GSM    	λαός        	         	people
5.8   	κριταὶ           	N1M NPM    	κριτής      	         	judges
5.9   	ἐν               	P          	ἐν          	         	in
5.10  	τῷ               	RA  DSM    	ὁ           	         	the
5.11  	ἐνιαυτῷ          	N2  DSM    	ἐνιαυτός    	         	year
5.12  	ἐκείνῳ,          	RD  DSM    	ἐκεῖνος     	         	that,
5.13  	περὶ             	P          	περί        	         	about
5.14  	ὧν               	RR  GPM    	ὅς          	         	whom
5.15  	ἐλάλησεν         	VAI AAI3S  	λαλέω       	         	he said
5.16  	ὁ                	RA  NSM    	ὁ           	         	the
5.17  	δεσπότης         	N1M NSM    	δεσπότης    	         	Lord,
5.18  	ὅτι              	C          	ὅτι         	         	that
5.19  	ἐξῆλθεν          	VBI AAI3S  	ἔρχομαι     	ἐκ       	came
5.20  	ἀνομία           	N1A NSF    	ἀνομία      	         	wickedness
5.21  	ἐκ               	P          	ἐκ          	         	from
5.22  	Βαβυλῶνος        	N3W GSF    	Βαβυλών     	         	Babylon
5.23  	ἐκ               	P          	ἐκ          	         	from
5.24  	πρεσβυτέρων      	N2  GPM    	πρεσβύτερος 	         	elder
5.25  	κριτῶν           	N1M GPM    	κριτής      	         	judges,
5.26  	οἳ               	RR  NPM    	ὅς          	         	who
5.27  	ἐδόκουν          	V2I IAI3P  	δοκέω       	         	were seeming
5.28  	κυβερνᾷν         	V3  PAN    	κυβερνάω    	         	to govern
5.29  	τὸν              	RA  ASM    	ὁ           	         	the
5.30  	λαόν.            	N2  ASM    	λαός        	         	people.
6.1   	οὗτοι            	RD  NPM    	οὗτος       	         	these
6.2   	προσεκαρτέρουν   	V2I IAI3P  	καρτερέω    	προς     	were persisting obstinately
6.3   	ἐν               	P          	ἐν          	         	in
6.4   	τῇ               	RA  DSF    	ὁ           	         	the
6.5   	οἰκίᾳ            	N1A DSF    	οἰκία       	         	house
6.6   	Ἰωακείμ,         	N   GSM    	Ιωακιμ      	         	of Joakim,
6.7   	καὶ              	C          	καί         	         	and
6.8   	ἤρχοντο          	V1I IMI3P  	ἔρχομαι     	         	were coming
6.9   	πρὸς             	P          	πρός        	         	to
6.10  	αὐτοὺς           	RD  APM    	αὐτός       	         	them
6.11  	πάντες           	A3  NPM    	πᾶς         	         	all
6.12  	οἱ               	RA  NPM    	ὁ           	         	the
6.13  	κρινόμενοι.      	V1  PMPNPM 	κρίνω       	         	being adjudicated.
7.1   	καὶ              	C          	καί         	         	and
7.2   	ἐγένετο          	VBI AMI3S  	γίγνομαι    	         	came to be
7.3   	ἡνίκα            	D          	ἡνίκα       	         	when
7.4   	ἀπέτρεχεν        	V1I IAI3S  	τρέχω       	ἀπο      	ran off
7.5   	ὁ                	RA  NSM    	ὁ           	         	the
7.6   	λαὸς             	N2  NSM    	λαός        	         	people
7.7   	μέσον            	A1  ASM    	μέσος       	         	middle
7.8   	ἡμέρας,          	N1A GSF    	ἡμέρα       	         	of day,
7.9   	εἰσεπορεύετο     	V1I IMI3S  	πορεύομαι   	εἰς      	was going into
7.10  	Σουσάννα         	N   NSF    	Σουσαννα    	         	Susanna
7.11  	καὶ              	C          	καί         	         	and
7.12  	περιεπάτει       	V2I IAI3S  	πατέω       	περι     	was walking up and down
7.13  	ἐν               	P          	ἐν          	         	in
7.14  	τῷ               	RA  DSM    	ὁ           	         	the
7.15  	παραδείσῳ        	N2  DSM    	παράδεισος  	         	garden
7.16  	τοῦ              	RA  GSM    	ὁ           	         	of the
7.17  	ἀνδρὸς           	N3  GSM    	ἀνήρ        	         	husband
7.18  	αὐτῆς.           	RD  GSF    	αὐτός       	         	of her.
8.1   	καὶ              	C          	καί         	         	And
8.2   	ἐθεώρουν         	V2I IAI3P  	θεωρέω      	         	were seeing
8.3   	αὐτὴν            	RD  ASF    	αὐτός       	         	her
8.4   	οἱ               	RA  NPM    	ὁ           	         	the
8.5   	δύο              	M   NDM    	δύο         	         	two
8.6   	πρεσβύτεροι      	N2  NPM    	πρεσβύτερος 	         	elders
8.7   	καθ’             	P          	κατά        	         	(day) by
8.8   	ἡμέραν           	N1A ASF    	ἡμέρα       	         	day
8.9   	εἰσπορευομένην   	V1  PMPASF 	πορεύομαι   	εἰς      	going in to
8.10  	καὶ              	C          	καί         	         	and
8.11  	περιπατοῦσαν,    	V2  PAPASF 	πατέω       	περι     	walking up and down,
8.12  	καὶ              	C          	καί         	         	and
8.13  	ἐγένοντο         	VBI AMI3P  	γίγνομαι    	         	they came to be
8.14  	ἐν               	P          	ἐν          	         	in
8.15  	ἐπιθυμίᾳ         	N1A DSF    	ἐπιθυμία    	         	lust {ἐπιθυμέω takes gen of object of desire}
8.16  	αὐτῆς.           	RD  GSF    	αὐτός       	         	of her.
9.1   	καὶ              	C          	καί         	         	and
9.2   	διέστρεψαν       	VAI AAI3P  	στρέφω      	δια      	twisted
9.3   	τὸν              	RA  ASM    	ὁ           	         	the
9.4   	ἑαυτῶν           	RD  GPM    	ἑαυτοῦ      	         	of them
9.5   	νοῦν,            	N2C ASM    	νοῦς        	         	mind,
9.6   	καὶ              	C          	καί         	         	and
9.7   	ἐξέκλιναν        	VAI AAI3P  	κλίνω       	ἐκ       	turned away
9.8   	τοὺς             	RA  APM    	ὁ           	         	the
9.9   	ὀφθαλμοὺς        	N2  APM    	ὀφθαλμός    	         	eyes
9.10  	αὐτῶν            	RD  GPM    	αὐτός       	         	of them
9.11  	τοῦ              	RA  GSN    	ὁ           	         	of the @@@
9.12  	μὴ               	D          	μή          	         	not
9.13  	βλέπειν          	V1  PAN    	βλέπω       	         	to be looking
9.14  	εἰς              	P          	εἰς         	         	to
9.15  	τὸν              	RA  ASM    	ὁ           	         	the
9.16  	οὐρανὸν          	N2  ASM    	οὐρανός     	         	heaven
9.17  	μηδὲ             	C          	μηδέ        	         	not
9.18  	μνημονεύειν      	V1  PAN    	μνημονεύω   	         	to be remembering
9.19  	κριμάτων         	N3M GPN    	κρίμα       	         	of judgements
9.20  	δικαίων.         	A1A GPN    	δίκαιος     	         	just.
10.1  	καὶ              	C          	καί         	         	and
10.2  	ἦσαν             	V9  IAI3P  	εἰμί        	         	were
10.3  	ἀμφότεροι        	A1  NPM    	ἄμφότεροι   	         	both
10.4  	κατανενυγμένοι   	VM  XMPNPM 	νύσσω       	κατα     	stabbed {figuratively}
10.5  	περὶ             	P          	περί        	         	concerning
10.6  	αὐτῆς,           	RD  GSF    	αὐτός       	         	her,
10.7  	καὶ              	C          	καί         	         	and
10.8  	οὐκ              	D          	οὐ          	         	not
10.9  	ἀνήγγειλαν       	VAI AAI3P  	ἀγγέλλω     	ἀνα      	they reported
10.10 	ἀλλήλοις         	RD  DPM    	ἀλλήλω      	         	to one other
10.11 	τὴν              	RA  ASF    	ὁ           	         	the
10.12 	ὀδύνην           	N1  ASF    	ὀδύνη       	         	pain
10.13 	ἑαυτῶν·          	RD  GPM    	αὐτός       	         	of them;
11.1  	ὅτι              	C          	ὅτι         	         	that
11.2  	ᾐσχύνοντο        	V1I IMI3P  	αἰσχύνω     	         	they were feeling ashamed
11.3  	ἀναγγεῖλαι       	VA  AAN    	ἀγγέλλω     	ἀνα      	to report
11.4  	τὴν              	RA  ASF    	ὁ           	         	the
11.5  	ἐπιθυμίαν        	N1A ASF    	ἐπιθυμία    	         	lust
11.6  	αὐτῶν            	RD  GPM    	αὐτός       	         	of them
11.7  	ὅτι              	C          	ὅτι         	         	that
11.8  	ἤθελον           	V1I IAI3P  	θέλω        	         	they were wishing
11.9  	συγγενέσθαι      	VB  AMN    	γίγνομαι    	συν      	to have intercourse
11.10 	αὐτῇ.            	RD  DSF    	αὐτός       	         	with her.
12.1  	καὶ              	C          	καί         	         	and
12.2  	παρετηροῦσαν     	V2I IAI3P  	τηρέω       	παρα     	they were watching closely
12.3  	φιλοτίμως        	D          	φιλοτίμως   	         	ambitiously
12.4  	καθ’             	P          	κατά        	         	(day) by
12.5  	ἡμέραν           	N1A ASF    	ἡμέρα       	         	day
12.6  	ὁρᾷν             	V3  PAN    	ὁράω        	         	to see
12.7  	αὐτήν.           	RD  ASF    	αὐτός       	         	her.
13.1  	καὶ              	C          	καί         	         	and
13.2  	εἶπαν            	VAI AAI3P  	εἶπον       	         	they said
13.3  	ἕτερος           	A1A NSM    	ἕτερος      	         	one
13.4  	τῷ               	RA  DSM    	ὁ           	         	to the
13.5  	ἑτέρῳ            	A1A DSM    	ἕτερος      	         	other:
13.6  	Πορευθῶμεν       	VC  APS1P  	πορεύομαι   	         	let us go
13.7  	δὴ               	X          	δή          	         	now
13.8  	εἰς              	P          	εἰς         	         	to
13.9  	οἶκον,           	N2  ASM    	οἶκος       	         	house,
13.10 	ὅτι              	C          	ὅτι         	         	because
13.11 	ἀρίστου          	N2N GSN    	ἄριστον     	         	of breakfast
13.12 	ὥρα              	N1A NSF    	ὥρα         	         	hour
13.13 	ἐστίν·           	V9  PAI3S  	εἰμί        	         	it is;
13.14 	καὶ              	C          	καί         	         	And
13.15 	ἐξελθόντες       	VB  AAPNPM 	ἔρχομαι     	ἐκ       	having gone out
13.16 	διεχωρίσθησαν    	VSI API3P  	χωρίζω      	δια      	they were separated
13.17 	ἀπ’              	P          	ἀπό         	         	from
13.18 	ἀλλήλων.         	RD  GPM    	ἀλλήλω      	         	each other.
14.1  	καὶ              	C          	καί         	         	and
14.2  	ἀνακάμψαντες     	VA  AAPNPM 	κάμπτω      	ἀνα      	having turned back
14.3  	ἦλθον            	VBI AAI3P  	ἔρχομαι     	         	they came
14.4  	ἐπὶ              	P          	ἐπί         	         	to
14.5  	τὸ               	RA  ASN    	ὁ           	         	the
14.6  	αὐτό,            	RD  ASN    	αὐτός       	         	same (place),
14.7  	καὶ              	C          	καί         	         	and
14.8  	ἀνετάζοντες      	V1  PAPNPM 	ἐτάζω       	ἀνα      	examining
14.9  	ἀλλήλους         	RD  APM    	ἀλλήλω      	         	each other
14.10 	τὴν              	RA  ASF    	ὁ           	         	the
14.11 	αἰτίαν           	N1A ASF    	αἰτία       	         	cause
14.12 	ὡμολόγησαν       	VAI AAI3P  	ὁμολογέω    	         	they admitted
14.13 	τὴν              	RA  ASF    	ὁ           	         	the
14.14 	ἐπιθυμίαν        	N1A ASF    	ἐπιθυμία    	         	lust
14.15 	αὐτῶν·           	RD  GPM    	αὐτός       	         	of her;
14.16 	καὶ              	C          	καί         	         	and
14.17 	τότε             	D          	τότε        	         	then
14.18 	κοινῇ            	A1  DSF    	κοινός      	         	(adv?) together
14.19 	συνετάξαντο      	VAI AMI3P  	τάσσω       	συν      	they arranged
14.20 	καιρὸν           	N2  ASM    	καιρός      	         	a time
14.21 	ὅτε              	D          	ὅτε         	         	when
14.22 	αὐτὴν            	RD  ASF    	αὐτός       	         	her
14.23 	δυνήσονται       	VF  FMI3P  	δύναμαι     	         	they will be able
14.24 	εὑρεῖν           	VB  AAN    	εὑρίσκω     	         	to find
14.25 	μόνην.           	A1  ASF    	μόνος       	         	alone.
15.1  	καὶ              	C          	καί         	         	and
15.2  	ἐγένετο          	VBI AMI3S  	γίγνομαι    	         	it came to be
15.3  	ἐν               	P          	ἐν          	         	in
15.4  	τῷ               	RA  DSN    	ὁ           	         	the
15.5  	παρατηρεῖν       	V2  PAN    	τηρέω       	παρα     	to watch closely
15.6  	αὐτοὺς           	RD  APM    	αὐτός       	         	them
15.7  	ἡμέραν           	N1A ASF    	ἡμέρα       	         	day
15.8  	εὔθετον          	A1B ASF    	εὔθετος     	         	well arranged
15.9  	εἰσῆλθέν         	VBI AAI3S  	ἔρχομαι     	εἰς      	she entered
15.10 	ποτε             	D          	ποτέ        	         	at some time
15.11 	καθὼς            	C          	ὡς          	κατα     	as {check lemma}
15.12 	ἐχθὲς            	D          	ἐχθὲς       	         	yesterday
15.13 	καὶ              	C          	καί         	         	and
15.14 	τρίτης           	A1  GSF    	τρίτος      	         	of third
15.15 	ἡμέρας           	N1A GSF    	ἡμέρα       	         	day
15.16 	μετὰ             	P          	μετά        	         	with
15.17 	δύο              	M   GDN    	δύο         	         	two
15.18 	μόνων            	A1  GPN    	μόνος       	         	only
15.19 	κορασίων,        	N2N GPN    	κοράσιον    	         	maids,
15.20 	καὶ              	C          	καί         	         	and
15.21 	ἐπεθύμησε        	VAI AAI3S  	θυμέω       	ἐπι      	desired
15.22 	λούσασθαι        	VA  AMN    	λούω        	         	to wash
15.23 	ἐν               	P          	ἐν          	         	in
15.24 	τῷ               	RA  DSM    	ὁ           	         	the
15.25 	παραδείσῳ,       	N2  DSM    	παράδεισος  	         	garden,
15.26 	ὅτι              	C          	ὅτι         	         	because
15.27 	καῦμα            	N3M NSN    	καῦμα       	         	burning heat
15.28 	ἦν.              	V9  IAI3S  	εἰμί        	         	it was.
16.1  	καὶ              	C          	καί         	         	and
16.2  	οὐκ              	D          	οὐ          	         	not
16.3  	ἦν               	V9  IAI3S  	εἰμί        	         	was
16.4  	ἐκεῖ             	D          	ἐκεῖ        	         	there
16.5  	οὐδεὶς           	A3  NSM    	οὐδείς      	         	no one
16.6  	πλὴν             	D          	πλήν        	         	except
16.7  	οἱ               	RA  NPM    	ὁ           	         	the
16.8  	δύο              	M   NDM    	δύο         	         	two
16.9  	πρεσβύτεροι      	N2  NPM    	πρεσβύτερος 	         	elders
16.10 	κεκρυμμένοι      	VP  XMPNPM 	κρύπτω      	         	having hidden
16.11 	καὶ              	C          	καί         	         	and
16.12 	παρατηροῦντες    	V2  PAPNPM 	τηρέω       	παρα     	watching closely
16.13 	αὐτήν.           	RD  ASF    	αὐτός       	         	her.
17.1  	καὶ              	C          	καί         	         	and
17.2  	εἶπεν            	VBI AAI3S  	εἶπον       	         	she said
17.3  	τοῖς             	RA  DPN    	ὁ           	         	to the
17.4  	κορασίοις        	N2N DPN    	κοράσιον    	         	maids:
17.5  	Ἐνέγκατε         	VA  AAD2P  	φέρω        	         	bring
17.6  	δή               	X          	δή          	         	now
17.7  	μοι              	RP  DS     	ἐγώ         	         	to me
17.8  	ἔλαιον           	N2N ASN    	ἔλαιον      	         	olive oil
17.9  	καὶ              	C          	καί         	         	and
17.10 	σμήγματα,        	N3M APN    	σμῆγμα      	         	soaps,
17.11 	καὶ              	C          	καί         	         	and
17.12 	τὰς              	RA  APF    	ὁ           	         	the
17.13 	θύρας            	N1A APF    	θύρα        	         	doors
17.14 	τοῦ              	RA  GSM    	ὁ           	         	of
17.15 	παραδείσου       	N2  GSM    	παράδεισος  	         	the garden
17.16 	κλείσατε,        	VA  AAD2P  	κλείω       	         	shut,
17.17 	ὅπως             	C          	ὅπως        	         	so
17.18 	λούσωμαι.        	VA  AMS1S  	λούω        	         	I may bathe (myself).
18.1  	καὶ              	C          	καί         	         	and
18.2  	ἐποίησαν         	VAI AAI3P  	ποιέω       	         	they did
18.3  	καθὼς            	C          	ὡς          	κατα     	as
18.4  	εἶπεν,           	VBI AAI3S  	εἶπον       	         	she said,
18.5  	καὶ              	C          	καί         	         	and
18.6  	ἀπέκλεισαν       	VAI AAI3P  	κλείω       	ἀπο      	closed off
18.7  	τὰς              	RA  APF    	ὁ           	         	the
18.8  	θύρας            	N1A APF    	θύρα        	         	doors
18.9  	τοῦ              	RA  GSM    	ὁ           	         	of the
18.10 	παραδείσου,      	N2  GSM    	παράδεισος  	         	garden,
18.11 	καὶ              	C          	καί         	         	and
18.12 	ἐξῆλθαν          	VAI AAI3P  	ἔρχομαι     	         	went
18.13 	κατὰ             	P          	κατά        	         	according to
18.14 	τὰς              	RA  APF    	ὁ           	         	the
18.15 	πλαγίας          	A1A APF    	πλάγιος     	         	side
18.16 	θύρας            	N1A APF    	θύρα        	         	doors
18.17 	ἐνέγκαι          	VA  AAN    	φέρω        	         	to carry
18.18 	τὰ               	RA  APN    	ὁ           	         	the
18.19 	προστεταγμένα    	VK  XMPAPN 	τάσσω       	προς     	having been ordered
18.20 	αὐταῖς,          	RD  DPF    	αὐτός       	         	by her,
18.21 	καὶ              	C          	καί         	         	and
18.22 	οὐκ              	D          	οὐ          	         	not
18.23 	εἴδοσαν          	VBI AAI3P  	ὁράω        	         	they saw
18.24 	τοὺς             	RA  APM    	ὁ           	         	the
18.25 	πρεσβυτέρους,    	N2  APM    	πρεσβύτερος 	         	elders,
18.26 	ὅτι              	C          	ὅτι         	         	because
18.27 	ἦσαν             	V9  IAI3P  	εἰμί        	         	they were
18.28 	κεκρυμμένοι.     	VP  XMPNPM 	κρύπτω      	         	hiding.
19.1  	καὶ              	C          	καί         	         	and
19.2  	ἐγένετο          	VBI AMI3S  	γίγνομαι    	         	it came to be
19.3  	ὡς               	C          	ὡς          	         	as
19.4  	ἐξήλθοσαν        	VBI AAI3P  	ἔρχομαι     	ἐκ       	went out
19.5  	τὰ               	RA  APN    	ὁ           	         	the {shouldn't that be nominative?}
19.6  	κοράσια,         	N2N APN    	κοράσιον    	         	maids {shouldn't that be nominative?},
19.7  	καὶ              	C          	καί         	         	and
19.8  	ἀνέστησαν        	VHI AAI3P  	ἵστημι      	ἀνα      	stood up
19.9  	οἱ               	RA  NPM    	ὁ           	         	the
19.10 	δύο              	M   NDM    	δύο         	         	two
19.11 	πρεσβῦται        	N1M NPM    	πρεσβύτης   	         	old men
19.12 	καὶ              	C          	καί         	         	and
19.13 	ἐπέδραμον        	VBI AAI3P  	τρέχω       	ἐπι      	ran to
19.14 	αὐτῇ,            	RD  DSF    	αὐτός       	         	her,
20.1  	καὶ              	C          	καί         	         	and
20.2  	εἶπον            	VBI AAI3P  	εἶπον       	         	they said:
20.3  	Ἰδοὺ             	VB  AMD2S  	ὁράω        	         	behold
20.4  	αἱ               	RA  NPF    	ὁ           	         	the
20.5  	θύραι            	N1A NPF    	θύρα        	         	doors
20.6  	τοῦ              	RA  GSM    	ὁ           	         	of the
20.7  	παραδείσου       	N2  GSM    	παράδεισος  	         	garden
20.8  	κέκλεινται,      	VM  XMI3P  	κλείω       	         	have been closed,
20.9  	καὶ              	C          	καί         	         	and
20.10 	οὐδεὶς           	A3  NSM    	οὐδείς      	         	no one
20.11 	θεωρεῖ           	V2  PAI3S  	θεωρέω      	         	sees
20.12 	ἡμᾶς,            	RP  AP     	ἐγώ         	         	us,
20.13 	καὶ              	C          	καί         	         	and
20.14 	ἐν               	P          	ἐν          	         	in
20.15 	ἐπιθυμίᾳ         	N1A DSF    	ἐπιθυμία    	         	lust
20.16 	σού              	RP  GS     	σύ          	         	with you
20.17 	ἐσμεν·           	V9  PAI1P  	εἰμί        	         	we are;
20.18 	διὸ              	C          	διό         	         	therefore
20.19 	συνκατάθου       	VE  AMD2S  	τίθημι      	συν κατα 	consent
20.20 	ἡμίν,            	RP  DP     	ἐγώ         	         	to us,
20.21 	καὶ              	C          	καί         	         	and
20.22 	γενοῦ            	VB  AMD2S  	γίγνομαι    	         	be
20.23 	μεθ’             	P          	μετά        	         	with
20.24 	ἡμῶν.            	RP  GP     	ἐγώ         	         	us.
21.1  	εἰ               	C          	εἰ          	         	if
21.2  	δὲ               	X          	δέ          	         	but
21.3  	μή,              	D          	μή          	         	not,
21.4  	καταμαρτυρήσομέν 	VF  FAI1P  	μαρτυρέω    	κατα     	we will testify against
21.5  	σου              	RP  GS     	σύ          	         	you
21.6  	ὅτι              	C          	ὅτι         	         	that
21.7  	ἦν               	V9  IAI3S  	εἰμί        	         	was
21.8  	μετὰ             	P          	μετά        	         	with
21.9  	σοῦ              	RP  GS     	σύ          	         	you
21.10 	νεανίσκος,       	N2  NSM    	νεανίσκος   	         	a young man,
21.11 	καὶ              	C          	καί         	         	and
21.12 	διὰ              	P          	διά         	         	because of
21.13 	τοῦτο            	RD  ASN    	οὗτος       	         	this
21.14 	ἐξαπέστειλας     	VAI AAI2S  	στέλλω      	ἐκ ἀπο   	you sent away
21.15 	τὰ               	RA  APN    	ὁ           	         	the
21.16 	κοράσια          	N2N APN    	κοράσιον    	         	maids
21.17 	ἀπὸ              	P          	ἀπό         	         	from
21.18 	σου.             	RP  GS     	σύ          	         	you.
22.1  	καὶ              	C          	καί         	         	and
22.2  	ἀνεστέναξεν      	VAI AAI3S  	στενάζω     	ἀνα      	groaned
22.3  	Σουσάννα         	N   NSF    	Σουσαννα    	         	Susanna
22.4  	καὶ              	C          	καί         	         	and
22.5  	εἶπεν            	VBI AAI3S  	εἶπον       	         	said:
22.6  	Στενά            	A1  NPN    	στενός      	         	narrow
22.7  	μοι              	RP  DS     	ἐγώ         	         	to me
22.8  	πάντοθεν·        	D          	πάντοθεν    	         	from every side;
22.9  	ἐάν              	C          	ἐάν         	         	if
22.10 	τε               	X          	τε          	         	-
22.11 	γὰρ              	X          	γάρ         	         	for
22.12 	τοῦτο            	RD  ASN    	οὗτος       	         	this
22.13 	πράξω,           	VA  AAS1S  	πράσσω      	         	I do,
22.14 	θάνατός          	N2  NSM    	θάνατος     	         	death
22.15 	μοί              	RP  DS     	ἐγώ         	         	to me
22.16 	ἐστιν·           	V9  PAI3S  	εἰμί        	         	it is;
22.17 	ἐάν              	C          	ἐάν         	         	if
22.18 	τε               	X          	τε          	         	-
22.19 	μὴ               	D          	μή          	         	not
22.20 	πράξω,           	VA  AAS1S  	πράσσω      	         	I do,
22.21 	οὐκ              	D          	οὐ          	         	not
22.22 	ἐκφεύξομαι       	VF  FMI1S  	φεύγω       	ἐκ       	I will escape
22.23 	τὰς              	RA  APF    	ὁ           	         	the
22.24 	χεῖρας           	N3  APF    	χείρ        	         	hand
22.25 	ὑμῶν.            	RP  GP     	σύ          	         	of you.
23.1  	αἱρετόν          	A1  NSN    	αἱρετός     	         	better
23.2  	μοί              	RP  DS     	ἐγώ         	         	for me
23.3  	ἐστιν            	V9  PAI3S  	εἰμί        	         	it is
23.4  	μὴ               	D          	μή          	         	not
23.5  	πράξασαν         	VA  AAPASF 	πράσσω      	         	having done it
23.6  	ἐνπεσεῖν         	VB  AAN    	πίπτω       	ἐν       	to fall
23.7  	εἰς              	P          	εἰς         	         	into
23.8  	τὰς              	RA  APF    	ὁ           	         	the
23.9  	χεῖρας           	N3  APF    	χείρ        	         	hands
23.10 	ὑμῶν             	RP  GP     	σύ          	         	of you
23.11 	ἢ                	C          	ἤ           	         	than
23.12 	ἁμαρτεῖν         	VB  AAN    	ἁμαρτάνω    	         	to sin
23.13 	ἐνώπιον          	D   P      	ἐνώπιον     	         	before
23.14 	Κυρίου.          	N2  GSM    	κύριος      	         	(the) Lord.
24.1  	καὶ              	C          	καί         	         	and
24.2  	ἀνεβόησεν        	VAI AAI3S  	βοάω        	ἀνα      	shouted out
24.3  	φωνῇ             	N1  DSF    	φωνή        	         	with voice
24.4  	μεγάλῃ           	A1  DSF    	μέγας       	         	loud
24.5  	Σουσάννα·        	N   NSF    	Σουσαννα    	         	Susanna;
24.6  	ἐβόησαν          	VAI AAI3P  	βοάω        	         	shouted
24.7  	δὲ               	X          	δέ          	         	.
24.8  	καὶ              	C          	καί         	         	also {adverb?}
24.9  	οἱ               	RA  NPM    	ὁ           	         	the
24.10 	δύο              	M   NDM    	δύο         	         	two
24.11 	πρεσβῦται        	N1M NPM    	πρεσβύτης   	         	old men
24.12 	κατέναντι        	D          	κατέναντι   	         	against {prep?}
